,,,,
,,,,
,,,,
,Schedule,,,
,,,,
,,,,Score
,Thursday 12/25/2025,Game 1,Panthers,
,,12/25 @6:15 PM,Eagles,
,,,,
,,Game 2,Lions,
,,12/25 @8:00 PM,Dolphins,
,,,,
,,Game 3,Knights,
,,12/25 @9:15 PM,Warriors,
,,,,
,,,,
,Friday 12/26/2025,Game 4,Eagles,
,,12/26 @6:15 PM,Lions,
,,,,
,,Game 5,Panthers,
,,12/26 @8:00 PM,Warriors,
,,,,
,,Game 6,Knights,
,,12/26 @9:15,Dolphins,
,,,,
,,,,
,Sunday 12/28/2025,Game 7,Panthers,
,,12/28 @6:15 PM,Knights,
,,,,
,,Game 8,Dolphins,
,,12/28 @8:00 PM,Eagles,
,,,,
,,Game 9,Warriors,
,,12/28 @9:15 PM,Lions,
,,,,
,,,,
,Tuesday 12/30/2025,Game 10,Panthers,
,,12/30 @6:15 PM,Lions,
,,,,
,,Game 11,Eagles,
,,12/30 @8:00 PM,Knights,
,,,,
,,Game 12,Warriors,
,,12/30 @9:15 PM,Dolphins,
,,,,
,,,,
,Friday 1/2/2026,Game 13,Panthers,
,,1/2 @6:15 PM,Dolphins,
,,,,
,,Game 14,Eagles,
,,1/2 @8:00 PM,Warriors,
,,,,
,,Game 15,Knights,
,,1/2 @9:15 PM,Lions,
,,,,
,,,,
,,,,
,Playoffs begin,,,
,,,,
,Play-ins,,,
,,,,
,Saturday,Game 16,3rd seed,
,,1/3 @TBD,6th seed,
,,,,
,,Game 17,4th seed,
,,1/3 @TBD,5th seed,
,,,,
,,,,
,Semi Finals,,,
,,,,
,,,,
,Friday,Semi-final 1,Winner of Game 16,
,,1/9 @TBD,1st seed,
,,,,
,,Semi-final 2,Winner of Game 17,
,,1/9 @TBD,2nd seed,
,,,,
,,,,
,Finals,,,
,,,,
,,,,
,Saturday,Finals,Winner of Semi-final 1,
,,1/10 @TBD,Winner of Semi-final 2,
